"","x"
"273",-2806.77603985366
"274",-2598.23432239538
"275",-2399.3922197026
"276",-2210.24973177533
"277",-2030.80685861355
"278",-1861.06360021728
"279",-1701.01995658651
"280",-1550.67592772124
"281",-1410.03151362147
"282",-1279.0867142872
"283",-1157.84152971843
"284",-1046.29595991517
"285",-944.450004877403
"286",-852.303664605141
"287",-769.856939098379
"288",-697.109828357119
"289",-634.062332381361
"290",-580.714451171103
"291",-537.066184726347
"292",-503.117533047092
"293",-478.868496133339
"294",-464.319073985087
"295",-459.469266602336
"296",-464.319073985087
"297",-478.868496133339
"298",-503.117533047092
"299",-537.066184726347
"300",-580.714451171103
"301",-9426.76311730832
"302",-9014.52948977452
"303",-8611.99547700621
"304",-8219.16107900341
"305",-7836.02629576611
"306",-7462.5911272943
"307",-7098.855573588
"308",-6744.8196346472
"309",-6400.48331047191
"310",-6065.84660106211
"311",-5740.90950641781
"312",-5425.67202653902
"313",-5120.13416142573
"314",-4824.29591107794
"315",-4538.15727549565
"316",-4261.71825467886
"317",-3994.97884862757
"318",-3737.93905734179
"319",-3490.5988808215
"320",-3252.95831906672
"321",-3025.01737207744
"322",-2806.77603985366
"323",-2598.23432239538
"324",-2399.3922197026
"325",-2210.24973177533
"326",-2030.80685861355
"327",-1861.06360021728
"328",-1701.01995658651
"329",-1550.67592772124
"330",-1410.03151362147
"331",-1279.0867142872
"332",-1157.84152971843
"333",-1046.29595991517
"334",-944.450004877403
"335",-852.303664605141
"336",-769.856939098379
"337",-697.109828357119
"338",-634.062332381361
"339",-580.714451171103
"340",-537.066184726347
"341",-503.117533047092
"342",-478.868496133339
"343",-464.319073985087
"344",-459.469266602336
"345",-464.319073985087
"346",-478.868496133339
"347",-503.117533047092
"348",-537.066184726347
"349",-580.714451171103
"350",-634.062332381361
"351",-9014.52948977452
"352",-8611.99547700621
"353",-8219.16107900341
"354",-7836.02629576611
"355",-7462.5911272943
"356",-7098.855573588
"357",-6744.8196346472
"358",-6400.48331047191
"359",-6065.84660106211
"360",-5740.90950641782
"361",-5425.67202653902
"362",-5120.13416142573
"363",-4824.29591107794
"364",-4538.15727549565
"365",-4261.71825467886
"366",-3994.97884862757
"367",-3737.93905734179
"368",-3490.5988808215
"369",-3252.95831906672
"370",-3025.01737207744
"371",-2806.77603985366
"372",-2598.23432239538
"373",-2399.3922197026
"374",-2210.24973177533
"375",-2030.80685861355
"376",-1861.06360021728
"377",-1701.01995658651
"378",-1550.67592772124
"379",-1410.03151362147
"380",-1279.0867142872
"381",-1157.84152971843
"382",-1046.29595991517
"383",-944.450004877404
"384",-852.303664605141
"385",-769.856939098379
"386",-697.109828357119
"387",-634.062332381361
"388",-580.714451171103
"389",-537.066184726347
"390",-503.117533047093
"391",-478.868496133339
"392",-464.319073985087
"393",-459.469266602336
"394",-464.319073985087
"395",-478.868496133339
"396",-503.117533047092
"397",-537.066184726347
"398",-580.714451171103
"399",-634.06233238136
"400",-697.109828357119
"401",-8611.99547700621
"402",-8219.16107900341
"403",-7836.02629576611
"404",-7462.5911272943
"405",-7098.855573588
"406",-6744.81963464721
"407",-6400.48331047191
"408",-6065.84660106211
"409",-5740.90950641782
"410",-5425.67202653902
"411",-5120.13416142573
"412",-4824.29591107794
"413",-4538.15727549565
"414",-4261.71825467886
"415",-3994.97884862758
"416",-3737.93905734179
"417",-3490.59888082151
"418",-3252.95831906672
"419",-3025.01737207744
"420",-2806.77603985366
"421",-2598.23432239538
"422",-2399.3922197026
"423",-2210.24973177533
"424",-2030.80685861355
"425",-1861.06360021728
"426",-1701.01995658651
"427",-1550.67592772124
"428",-1410.03151362147
"429",-1279.0867142872
"430",-1157.84152971843
"431",-1046.29595991517
"432",-944.450004877404
"433",-852.303664605141
"434",-769.85693909838
"435",-697.109828357119
"436",-634.062332381361
"437",-580.714451171103
"438",-537.066184726347
"439",-503.117533047093
"440",-478.868496133339
"441",-464.319073985087
"442",-459.469266602336
"443",-464.319073985087
"444",-478.868496133339
"445",-503.117533047092
"446",-537.066184726347
"447",-580.714451171103
"448",-634.06233238136
"449",-697.109828357119
"450",-769.856939098379
"451",-8219.16107900341
"452",-7836.02629576611
"453",-7462.5911272943
"454",-7098.855573588
"455",-6744.81963464721
"456",-6400.48331047191
"457",-6065.84660106211
"458",-5740.90950641782
"459",-5425.67202653902
"460",-5120.13416142573
"461",-4824.29591107794
"462",-4538.15727549565
"463",-4261.71825467886
"464",-3994.97884862758
"465",-3737.93905734179
"466",-3490.59888082151
"467",-3252.95831906672
"468",-3025.01737207744
"469",-2806.77603985366
"470",-2598.23432239538
"471",-2399.3922197026
"472",-2210.24973177533
"473",-2030.80685861355
"474",-1861.06360021728
"475",-1701.01995658651
"476",-1550.67592772124
"477",-1410.03151362147
"478",-1279.0867142872
"479",-1157.84152971843
"480",-1046.29595991517
"481",-944.450004877404
"482",-852.303664605141
"483",-769.856939098379
"484",-697.109828357119
"485",-634.062332381361
"486",-580.714451171103
"487",-537.066184726347
"488",-503.117533047093
"489",-478.868496133339
"490",-464.319073985087
"491",-459.469266602336
"492",-464.319073985087
"493",-478.868496133339
"494",-503.117533047092
"495",-537.066184726347
"496",-580.714451171103
"497",-634.06233238136
"498",-697.109828357119
"499",-769.856939098379
"500",-852.303664605141
"501",-7836.02629576611
"502",-7462.5911272943
"503",-7098.855573588
"504",-6744.8196346472
"505",-6400.48331047191
"506",-6065.84660106211
"507",-5740.90950641781
"508",-5425.67202653902
"509",-5120.13416142573
"510",-4824.29591107794
"511",-4538.15727549565
"512",-4261.71825467886
"513",-3994.97884862757
"514",-3737.93905734179
"515",-3490.59888082151
"516",-3252.95831906672
"517",-3025.01737207744
"518",-2806.77603985366
"519",-2598.23432239538
"520",-2399.3922197026
"521",-2210.24973177533
"522",-2030.80685861355
"523",-1861.06360021728
"524",-1701.01995658651
"525",-1550.67592772124
"526",-1410.03151362147
"527",-1279.0867142872
"528",-1157.84152971843
"529",-1046.29595991517
"530",-944.450004877403
"531",-852.303664605141
"532",-769.856939098379
"533",-697.109828357119
"534",-634.062332381361
"535",-580.714451171103
"536",-537.066184726347
"537",-503.117533047092
"538",-478.868496133339
"539",-464.319073985087
"540",-459.469266602336
"541",-464.319073985087
"542",-478.868496133339
"543",-503.117533047092
"544",-537.066184726347
"545",-580.714451171103
"546",-634.06233238136
"547",-697.109828357119
"548",-769.856939098379
"549",-852.303664605141
"550",-944.450004877403
"551",-7462.5911272943
"552",-7098.855573588
"553",-6744.81963464721
"554",-6400.48331047191
"555",-6065.84660106211
"556",-5740.90950641782
"557",-5425.67202653902
"558",-5120.13416142573
"559",-4824.29591107794
"560",-4538.15727549565
"561",-4261.71825467886
"562",-3994.97884862757
"563",-3737.93905734179
"564",-3490.59888082151
"565",-3252.95831906672
"566",-3025.01737207744
"567",-2806.77603985366
"568",-2598.23432239538
"569",-2399.3922197026
"570",-2210.24973177533
"571",-2030.80685861355
"572",-1861.06360021728
"573",-1701.01995658651
"574",-1550.67592772124
"575",-1410.03151362147
"576",-1279.0867142872
"577",-1157.84152971843
"578",-1046.29595991517
"579",-944.450004877404
"580",-852.303664605141
"581",-769.85693909838
"582",-697.109828357119
"583",-634.062332381361
"584",-580.714451171103
"585",-537.066184726347
"586",-503.117533047093
"587",-478.868496133339
"588",-464.319073985087
"589",-459.469266602336
"590",-464.319073985087
"591",-478.868496133339
"592",-503.117533047092
"593",-537.066184726347
"594",-580.714451171103
"595",-634.06233238136
"596",-697.109828357119
"597",-769.856939098379
"598",-852.30366460514
"599",-944.450004877403
"600",-1046.29595991517
"601",-7098.855573588
"602",-6744.8196346472
"603",-6400.48331047191
"604",-6065.84660106211
"605",-5740.90950641782
"606",-5425.67202653902
"607",-5120.13416142573
"608",-4824.29591107794
"609",-4538.15727549565
"610",-4261.71825467886
"611",-3994.97884862757
"612",-3737.93905734179
"613",-3490.5988808215
"614",-3252.95831906672
"615",-3025.01737207744
"616",-2806.77603985366
"617",-2598.23432239538
"618",-2399.3922197026
"619",-2210.24973177533
"620",-2030.80685861355
"621",-1861.06360021728
"622",-1701.01995658651
