"","x"
"1",-91970.7111916657
"2",-88164.4906429513
"3",-84600.7604633745
"4",-81279.5206529353
"5",-78200.7712116335
"6",-75364.5121394694
"7",-72770.7434364427
"8",-70419.4651025536
"9",-68310.677137802
"10",-66444.3795421879
"11",-64820.5723157114
"12",-63439.2554583724
"13",-62300.4289701709
"14",-61404.092851107
"15",-60750.2471011806
"16",-60338.8917203917
"17",-60170.0267087404
"18",-60243.6520662266
"19",-60559.7677928504
"20",-61118.3738886116
"21",-61919.4703535104
"22",-62963.0571875468
"23",-64249.1343907207
"24",-65777.7019630321
"25",-67548.759904481
"26",-69562.3082150675
"27",-71818.3468947915
"28",-74316.875943653
"29",-77057.8953616521
"30",-80041.4051487887
"31",-83267.4053050628
"32",-86735.8958304745
"33",-90446.8767250237
"34",-94400.3479887105
"35",-98596.3096215348
"36",-103034.761623497
"37",-107715.703994596
"38",-112639.136734833
"39",-117805.059844207
"40",-123213.473322719
"41",-128864.377170369
"42",-134757.771387156
"43",-140893.65597308
"44",-147272.030928142
"45",-153892.896252342
"46",-160756.251945679
"47",-167862.098008154
"48",-175210.434439766
"49",-182801.261240516
"50",-190634.578410403
"51",-88476.9164322716
"52",-84588.5102382271
"53",-80942.5944133203
"54",-77539.168957551
"55",-74378.2338709192
"56",-71459.7891534249
"57",-68783.8348050682
"58",-66350.370825849
"59",-64159.3972157674
"60",-62210.9139748233
"61",-60504.9211030167
"62",-59041.4186003476
"63",-57820.4064668161
"64",-56841.8847024221
"65",-56105.8533071656
"66",-55612.3122810467
"67",-55361.2616240654
"68",-55352.7013362215
"69",-55586.6314175152
"70",-56063.0518679464
"71",-56781.9626875151
"72",-57743.3638762214
"73",-58947.2554340652
"74",-60393.6373610466
"75",-62082.5096571655
"76",-64013.8723224219
"77",-66187.7253568158
"78",-68604.0687603473
"79",-71262.9025330163
"80",-74164.2266748229
"81",-77308.0411857669
"82",-80694.3460658486
"83",-84323.1413150677
"84",-88194.4269334244
"85",-92308.2029209186
"86",-96664.4692775503
"87",-101263.22600332
"88",-106104.473098226
"89",-111188.210562271
"90",-116514.438395453
"91",-122083.156597772
"92",-127894.365169229
"93",-133948.064109824
"94",-140244.253419556
"95",-146782.933098425
"96",-153564.103146432
"97",-160587.763563577
"98",-167853.914349859
"99",-175362.555505279
"100",-183113.687029836
"101",-85212.5943007933
"102",-81242.0024614188
"103",-77513.9009911819
"104",-74028.2898900826
"105",-70785.1691581207
"106",-67784.5387952964
"107",-65026.3988016096
"108",-62510.7491770604
"109",-60237.5899216487
"110",-58206.9210353745
"111",-56418.7425182378
"112",-54873.0543702387
"113",-53569.8565913771
"114",-52509.1491816531
"115",-51690.9321410666
"116",-51115.2054696176
"117",-50781.9691673061
"118",-50691.2232341322
"119",-50842.9676700958
"120",-51237.202475197
"121",-51873.9276494357
"122",-52753.1431928119
"123",-53874.8491053257
"124",-55239.0453869769
"125",-56845.7320377658
"126",-58694.9090576921
"127",-60786.576446756
"128",-63120.7342049574
"129",-65697.3823322964
"130",-68516.5208287729
"131",-71578.1496943869
